file_name,motif_type,target,group,model,F1_Scores,F1
rna_motif-R1205TS052_2.stdout,A-minor,R1205,Yang-Server - S 052,2,[],
rna_motif-R1205TS189_2.stdout,A-minor,R1205,LCBio - 189,2,[],
rna_motif-R1205TS338_3.stdout,A-minor,R1205,GeneSilico - 338,3,[],
rna_motif-R1205TS358_3.stdout,A-minor,R1205,PerezLab_Gators - 358,3,[],
rna_motif-R1205TS358_4.stdout,A-minor,R1205,PerezLab_Gators - 358,4,[],
rna_motif-R1209TS052_5.stdout,A-minor,R1209,Yang-Server - S 052,5,[],
rna_motif-R1209TS456_4.stdout,A-minor,R1209,Yang-Multimer - S 456,4,[],
rna_motif-R1212TS006_2.stdout,A-minor,R1212,RNA_Dojo - 006,2,[],
rna_motif-R1212TS006_4.stdout,A-minor,R1212,RNA_Dojo - 006,4,[],
rna_motif-R1212TS006_5.stdout,A-minor,R1212,RNA_Dojo - 006,5,[],
rna_motif-R1212TS033_1.stdout,A-minor,R1212,Diff - 033,1,[],
rna_motif-R1212TS033_3.stdout,A-minor,R1212,Diff - 033,3,[],
rna_motif-R1212TS033_4.stdout,A-minor,R1212,Diff - 033,4,[],
rna_motif-R1212TS033_5.stdout,A-minor,R1212,Diff - 033,5,[],
rna_motif-R1212TS044_1.stdout,A-minor,R1212,,1,[],
rna_motif-R1212TS044_3.stdout,A-minor,R1212,,3,[],
rna_motif-R1212TS063_1.stdout,A-minor,R1212,RNApolis - 063,1,[],
rna_motif-R1212TS063_2.stdout,A-minor,R1212,RNApolis - 063,2,[],
rna_motif-R1212TS063_3.stdout,A-minor,R1212,RNApolis - 063,3,[],
rna_motif-R1212TS063_4.stdout,A-minor,R1212,RNApolis - 063,4,[],
rna_motif-R1212TS063_5.stdout,A-minor,R1212,RNApolis - 063,5,[],
rna_motif-R1212TS094_1.stdout,A-minor,R1212,SimRNA-server - S 094,1,[],
rna_motif-R1212TS094_2.stdout,A-minor,R1212,SimRNA-server - S 094,2,[],
rna_motif-R1212TS094_3.stdout,A-minor,R1212,SimRNA-server - S 094,3,[],
rna_motif-R1212TS094_4.stdout,A-minor,R1212,SimRNA-server - S 094,4,[],
rna_motif-R1212TS094_5.stdout,A-minor,R1212,SimRNA-server - S 094,5,[],
rna_motif-R1212TS156_1.stdout,A-minor,R1212,SoutheRNA - 156,1,[],
rna_motif-R1212TS156_2.stdout,A-minor,R1212,SoutheRNA - 156,2,[],
rna_motif-R1212TS156_4.stdout,A-minor,R1212,SoutheRNA - 156,4,[],
rna_motif-R1212TS159_1.stdout,A-minor,R1212,406 - 159,1,[],
rna_motif-R1212TS159_3.stdout,A-minor,R1212,406 - 159,3,[],
rna_motif-R1212TS159_4.stdout,A-minor,R1212,406 - 159,4,[],
rna_motif-R1212TS165_1.stdout,A-minor,R1212,dfr - 165,1,[],
rna_motif-R1212TS165_2.stdout,A-minor,R1212,dfr - 165,2,[],
rna_motif-R1212TS165_3.stdout,A-minor,R1212,dfr - 165,3,[],
rna_motif-R1212TS167_2.stdout,A-minor,R1212,OpenComplex - 167,2,[],
rna_motif-R1212TS167_4.stdout,A-minor,R1212,OpenComplex - 167,4,[],
rna_motif-R1212TS183_1.stdout,A-minor,R1212,GuangzhouRNA-human - 183,1,[],
rna_motif-R1212TS183_2.stdout,A-minor,R1212,GuangzhouRNA-human - 183,2,[],
rna_motif-R1212TS183_3.stdout,A-minor,R1212,GuangzhouRNA-human - 183,3,[],
rna_motif-R1212TS183_4.stdout,A-minor,R1212,GuangzhouRNA-human - 183,4,[],
rna_motif-R1212TS183_5.stdout,A-minor,R1212,GuangzhouRNA-human - 183,5,[],
rna_motif-R1212TS208_1.stdout,A-minor,R1212,falcon2 - S 208,1,[],
rna_motif-R1212TS208_2.stdout,A-minor,R1212,falcon2 - S 208,2,[],
rna_motif-R1212TS208_3.stdout,A-minor,R1212,falcon2 - S 208,3,[],
rna_motif-R1212TS208_4.stdout,A-minor,R1212,falcon2 - S 208,4,[],
rna_motif-R1212TS208_5.stdout,A-minor,R1212,falcon2 - S 208,5,[],
rna_motif-R1212TS231_4.stdout,A-minor,R1212,B-LAB - 231,4,[],
rna_motif-R1212TS231_5.stdout,A-minor,R1212,B-LAB - 231,5,[],
rna_motif-R1212TS235_4.stdout,A-minor,R1212,isyslab-hust - 235,4,[],
rna_motif-R1212TS235_5.stdout,A-minor,R1212,isyslab-hust - 235,5,[],
rna_motif-R1212TS238_1.stdout,A-minor,R1212,BRIQX - 238,1,[],
rna_motif-R1212TS238_4.stdout,A-minor,R1212,BRIQX - 238,4,[],
rna_motif-R1212TS241_1.stdout,A-minor,R1212,elofsson - 241,1,[],
rna_motif-R1212TS241_2.stdout,A-minor,R1212,elofsson - 241,2,[],
rna_motif-R1212TS241_3.stdout,A-minor,R1212,elofsson - 241,3,[],
rna_motif-R1212TS241_4.stdout,A-minor,R1212,elofsson - 241,4,[],
rna_motif-R1212TS241_5.stdout,A-minor,R1212,elofsson - 241,5,[],
rna_motif-R1212TS262_1.stdout,A-minor,R1212,CoDock - 262,1,[],
rna_motif-R1212TS262_4.stdout,A-minor,R1212,CoDock - 262,4,[],
rna_motif-R1212TS262_5.stdout,A-minor,R1212,CoDock - 262,5,[],
rna_motif-R1212TS272_5.stdout,A-minor,R1212,GromihaLab - 272,5,[],
rna_motif-R1212TS286_1.stdout,A-minor,R1212,CSSB_experimental - 286,1,[],
rna_motif-R1212TS294_1.stdout,A-minor,R1212,KiharaLab - 294,1,[],
rna_motif-R1212TS294_2.stdout,A-minor,R1212,KiharaLab - 294,2,[],
rna_motif-R1212TS294_4.stdout,A-minor,R1212,KiharaLab - 294,4,[],
rna_motif-R1212TS294_5.stdout,A-minor,R1212,KiharaLab - 294,5,[],
rna_motif-R1212TS304_1.stdout,A-minor,R1212,AF3-server - S 304,1,[],
rna_motif-R1212TS304_2.stdout,A-minor,R1212,AF3-server - S 304,2,[],
rna_motif-R1212TS304_3.stdout,A-minor,R1212,AF3-server - S 304,3,[],
rna_motif-R1212TS304_4.stdout,A-minor,R1212,AF3-server - S 304,4,[],
rna_motif-R1212TS304_5.stdout,A-minor,R1212,AF3-server - S 304,5,[],
rna_motif-R1212TS306_1.stdout,A-minor,R1212,GeneSilicoRNA-server - S 306,1,[],
rna_motif-R1212TS307_1.stdout,A-minor,R1212,nfRNA - 307,1,[],
rna_motif-R1212TS307_2.stdout,A-minor,R1212,nfRNA - 307,2,[],
rna_motif-R1212TS307_3.stdout,A-minor,R1212,nfRNA - 307,3,[],
rna_motif-R1212TS325_1.stdout,A-minor,R1212,405 - 325,1,[],
rna_motif-R1212TS325_3.stdout,A-minor,R1212,405 - 325,3,[],
rna_motif-R1212TS325_4.stdout,A-minor,R1212,405 - 325,4,[],
rna_motif-R1212TS325_5.stdout,A-minor,R1212,405 - 325,5,[],
rna_motif-R1212TS338_1.stdout,A-minor,R1212,GeneSilico - 338,1,[],
rna_motif-R1212TS338_2.stdout,A-minor,R1212,GeneSilico - 338,2,[],
rna_motif-R1212TS338_3.stdout,A-minor,R1212,GeneSilico - 338,3,[],
rna_motif-R1212TS338_4.stdout,A-minor,R1212,GeneSilico - 338,4,[],
rna_motif-R1212TS369_1.stdout,A-minor,R1212,Bhattacharya - 369,1,[],
rna_motif-R1212TS369_2.stdout,A-minor,R1212,Bhattacharya - 369,2,[],
rna_motif-R1212TS369_3.stdout,A-minor,R1212,Bhattacharya - 369,3,[],
rna_motif-R1212TS417_1.stdout,A-minor,R1212,GuangzhouRNA-meta - 417,1,[],
rna_motif-R1212TS417_5.stdout,A-minor,R1212,GuangzhouRNA-meta - 417,5,[],
rna_motif-R1212TS439_2.stdout,A-minor,R1212,Dokholyan - 439,2,[],
rna_motif-R1212TS439_5.stdout,A-minor,R1212,Dokholyan - 439,5,[],
rna_motif-R1212TS471_2.stdout,A-minor,R1212,Pcons - S 471,2,[],
rna_motif-R1212TS481_3.stdout,A-minor,R1212,Vfold - 481,3,[],
rna_motif-R1221s2TS006_1.stdout,A-minor,R1221s2,RNA_Dojo - 006,1,[0.5],0.5
rna_motif-R1221s2TS006_2.stdout,A-minor,R1221s2,RNA_Dojo - 006,2,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS006_3.stdout,A-minor,R1221s2,RNA_Dojo - 006,3,[0.5],0.5
rna_motif-R1221s2TS006_4.stdout,A-minor,R1221s2,RNA_Dojo - 006,4,[0.5],0.5
rna_motif-R1221s2TS006_5.stdout,A-minor,R1221s2,RNA_Dojo - 006,5,[0.5],0.5
rna_motif-R1221s2TS033_1.stdout,A-minor,R1221s2,Diff - 033,1,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS033_2.stdout,A-minor,R1221s2,Diff - 033,2,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS033_3.stdout,A-minor,R1221s2,Diff - 033,3,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS033_4.stdout,A-minor,R1221s2,Diff - 033,4,[0.6666666666666666],0.6666666666666666
rna_motif-R1221s2TS033_5.stdout,A-minor,R1221s2,Diff - 033,5,[0.6666666666666666],0.6666666666666666
rna_motif-R1221s2TS052_1.stdout,A-minor,R1221s2,Yang-Server - S 052,1,[0.5454545454545454],0.5454545454545454
rna_motif-R1221s2TS052_2.stdout,A-minor,R1221s2,Yang-Server - S 052,2,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS052_3.stdout,A-minor,R1221s2,Yang-Server - S 052,3,[0.1818181818181818],0.1818181818181818
rna_motif-R1221s2TS052_5.stdout,A-minor,R1221s2,Yang-Server - S 052,5,[0],0.0
rna_motif-R1221s2TS063_1.stdout,A-minor,R1221s2,RNApolis - 063,1,[0.33333333333333337],0.33333333333333337
rna_motif-R1221s2TS063_2.stdout,A-minor,R1221s2,RNApolis - 063,2,[0.33333333333333337],0.33333333333333337
rna_motif-R1221s2TS063_3.stdout,A-minor,R1221s2,RNApolis - 063,3,[0.33333333333333337],0.33333333333333337
rna_motif-R1221s2TS094_1.stdout,A-minor,R1221s2,SimRNA-server - S 094,1,[0],0.0
rna_motif-R1221s2TS094_2.stdout,A-minor,R1221s2,SimRNA-server - S 094,2,[0],0.0
rna_motif-R1221s2TS094_3.stdout,A-minor,R1221s2,SimRNA-server - S 094,3,[0],0.0
rna_motif-R1221s2TS094_4.stdout,A-minor,R1221s2,SimRNA-server - S 094,4,[0],0.0
rna_motif-R1221s2TS094_5.stdout,A-minor,R1221s2,SimRNA-server - S 094,5,[0],0.0
rna_motif-R1221s2TS143_1.stdout,A-minor,R1221s2,dMNAfold - 143,1,[0],0.0
rna_motif-R1221s2TS143_2.stdout,A-minor,R1221s2,dMNAfold - 143,2,[0],0.0
rna_motif-R1221s2TS143_3.stdout,A-minor,R1221s2,dMNAfold - 143,3,[0],0.0
rna_motif-R1221s2TS143_4.stdout,A-minor,R1221s2,dMNAfold - 143,4,[0],0.0
rna_motif-R1221s2TS156_2.stdout,A-minor,R1221s2,SoutheRNA - 156,2,[0],0.0
rna_motif-R1221s2TS156_3.stdout,A-minor,R1221s2,SoutheRNA - 156,3,[0],0.0
rna_motif-R1221s2TS159_1.stdout,A-minor,R1221s2,406 - 159,1,[0],0.0
rna_motif-R1221s2TS159_2.stdout,A-minor,R1221s2,406 - 159,2,[0.20000000000000004],0.20000000000000004
rna_motif-R1221s2TS159_3.stdout,A-minor,R1221s2,406 - 159,3,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS159_4.stdout,A-minor,R1221s2,406 - 159,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS159_5.stdout,A-minor,R1221s2,406 - 159,5,[0.6666666666666666],0.6666666666666666
rna_motif-R1221s2TS165_1.stdout,A-minor,R1221s2,dfr - 165,1,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS165_2.stdout,A-minor,R1221s2,dfr - 165,2,[0.25],0.25
rna_motif-R1221s2TS165_3.stdout,A-minor,R1221s2,dfr - 165,3,[0.5714285714285715],0.5714285714285715
rna_motif-R1221s2TS165_5.stdout,A-minor,R1221s2,dfr - 165,5,[0],0.0
rna_motif-R1221s2TS167_1.stdout,A-minor,R1221s2,OpenComplex - 167,1,[0.5454545454545454],0.5454545454545454
rna_motif-R1221s2TS167_2.stdout,A-minor,R1221s2,OpenComplex - 167,2,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS167_3.stdout,A-minor,R1221s2,OpenComplex - 167,3,[0.6666666666666666],0.6666666666666666
rna_motif-R1221s2TS167_4.stdout,A-minor,R1221s2,OpenComplex - 167,4,[0.6],0.6
rna_motif-R1221s2TS183_1.stdout,A-minor,R1221s2,GuangzhouRNA-human - 183,1,[0.6],0.6
rna_motif-R1221s2TS183_2.stdout,A-minor,R1221s2,GuangzhouRNA-human - 183,2,[0.6],0.6
rna_motif-R1221s2TS183_3.stdout,A-minor,R1221s2,GuangzhouRNA-human - 183,3,[0.6],0.6
rna_motif-R1221s2TS183_4.stdout,A-minor,R1221s2,GuangzhouRNA-human - 183,4,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS183_5.stdout,A-minor,R1221s2,GuangzhouRNA-human - 183,5,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS208_1.stdout,A-minor,R1221s2,falcon2 - S 208,1,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS208_2.stdout,A-minor,R1221s2,falcon2 - S 208,2,[0.6],0.6
rna_motif-R1221s2TS208_3.stdout,A-minor,R1221s2,falcon2 - S 208,3,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS208_4.stdout,A-minor,R1221s2,falcon2 - S 208,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS208_5.stdout,A-minor,R1221s2,falcon2 - S 208,5,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS235_4.stdout,A-minor,R1221s2,isyslab-hust - 235,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS235_5.stdout,A-minor,R1221s2,isyslab-hust - 235,5,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS238_0.stdout,A-minor,R1221s2,BRIQX - 238,0,[0.4000000000000001],0.4000000000000001
rna_motif-R1221s2TS238_1.stdout,A-minor,R1221s2,BRIQX - 238,1,[0.4000000000000001],0.4000000000000001
rna_motif-R1221s2TS238_2.stdout,A-minor,R1221s2,BRIQX - 238,2,[0.5454545454545454],0.5454545454545454
rna_motif-R1221s2TS238_3.stdout,A-minor,R1221s2,BRIQX - 238,3,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS238_4.stdout,A-minor,R1221s2,BRIQX - 238,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS241_1.stdout,A-minor,R1221s2,elofsson - 241,1,[0.6],0.6
rna_motif-R1221s2TS241_2.stdout,A-minor,R1221s2,elofsson - 241,2,[0.6],0.6
rna_motif-R1221s2TS241_3.stdout,A-minor,R1221s2,elofsson - 241,3,[0.6153846153846154],0.6153846153846154
rna_motif-R1221s2TS241_4.stdout,A-minor,R1221s2,elofsson - 241,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS241_5.stdout,A-minor,R1221s2,elofsson - 241,5,[0.6],0.6
rna_motif-R1221s2TS262_1.stdout,A-minor,R1221s2,CoDock - 262,1,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS262_2.stdout,A-minor,R1221s2,CoDock - 262,2,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS262_3.stdout,A-minor,R1221s2,CoDock - 262,3,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS262_4.stdout,A-minor,R1221s2,CoDock - 262,4,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS262_5.stdout,A-minor,R1221s2,CoDock - 262,5,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS286_1.stdout,A-minor,R1221s2,CSSB_experimental - 286,1,[0.5],0.5
rna_motif-R1221s2TS286_2.stdout,A-minor,R1221s2,CSSB_experimental - 286,2,[0.8000000000000002],0.8000000000000002
rna_motif-R1221s2TS286_3.stdout,A-minor,R1221s2,CSSB_experimental - 286,3,[0.8000000000000002],0.8000000000000002
rna_motif-R1221s2TS286_4.stdout,A-minor,R1221s2,CSSB_experimental - 286,4,[0.8000000000000002],0.8000000000000002
rna_motif-R1221s2TS286_5.stdout,A-minor,R1221s2,CSSB_experimental - 286,5,[0.5],0.5
rna_motif-R1221s2TS294_1.stdout,A-minor,R1221s2,KiharaLab - 294,1,[0.6],0.6
rna_motif-R1221s2TS294_2.stdout,A-minor,R1221s2,KiharaLab - 294,2,[0.5454545454545454],0.5454545454545454
rna_motif-R1221s2TS294_3.stdout,A-minor,R1221s2,KiharaLab - 294,3,[0.6],0.6
rna_motif-R1221s2TS294_4.stdout,A-minor,R1221s2,KiharaLab - 294,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS294_5.stdout,A-minor,R1221s2,KiharaLab - 294,5,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS298_1.stdout,A-minor,R1221s2,ShanghaiTech-human - 298,1,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS304_1.stdout,A-minor,R1221s2,AF3-server - S 304,1,[0.6],0.6
rna_motif-R1221s2TS304_2.stdout,A-minor,R1221s2,AF3-server - S 304,2,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS304_3.stdout,A-minor,R1221s2,AF3-server - S 304,3,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS304_4.stdout,A-minor,R1221s2,AF3-server - S 304,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS304_5.stdout,A-minor,R1221s2,AF3-server - S 304,5,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS306_1.stdout,A-minor,R1221s2,GeneSilicoRNA-server - S 306,1,[0],0.0
rna_motif-R1221s2TS307_1.stdout,A-minor,R1221s2,nfRNA - 307,1,[0.4444444444444445],0.4444444444444445
rna_motif-R1221s2TS307_2.stdout,A-minor,R1221s2,nfRNA - 307,2,[0.25],0.25
rna_motif-R1221s2TS307_3.stdout,A-minor,R1221s2,nfRNA - 307,3,[0.5714285714285715],0.5714285714285715
rna_motif-R1221s2TS307_5.stdout,A-minor,R1221s2,nfRNA - 307,5,[0],0.0
rna_motif-R1221s2TS317_4.stdout,A-minor,R1221s2,GuangzhouRNA_AI - 317,4,[0],0.0
rna_motif-R1221s2TS325_1.stdout,A-minor,R1221s2,405 - 325,1,[0],0.0
rna_motif-R1221s2TS325_2.stdout,A-minor,R1221s2,405 - 325,2,[0.20000000000000004],0.20000000000000004
rna_motif-R1221s2TS325_3.stdout,A-minor,R1221s2,405 - 325,3,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS325_4.stdout,A-minor,R1221s2,405 - 325,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS325_5.stdout,A-minor,R1221s2,405 - 325,5,[0.6666666666666666],0.6666666666666666
rna_motif-R1221s2TS338_1.stdout,A-minor,R1221s2,GeneSilico - 338,1,[0.28571428571428575],0.28571428571428575
rna_motif-R1221s2TS338_2.stdout,A-minor,R1221s2,GeneSilico - 338,2,[0.28571428571428575],0.28571428571428575
rna_motif-R1221s2TS338_3.stdout,A-minor,R1221s2,GeneSilico - 338,3,[0.28571428571428575],0.28571428571428575
rna_motif-R1221s2TS338_4.stdout,A-minor,R1221s2,GeneSilico - 338,4,[0.28571428571428575],0.28571428571428575
rna_motif-R1221s2TS338_5.stdout,A-minor,R1221s2,GeneSilico - 338,5,[0.28571428571428575],0.28571428571428575
rna_motif-R1221s2TS369_1.stdout,A-minor,R1221s2,Bhattacharya - 369,1,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS369_2.stdout,A-minor,R1221s2,Bhattacharya - 369,2,[0],0.0
rna_motif-R1221s2TS369_3.stdout,A-minor,R1221s2,Bhattacharya - 369,3,[0],0.0
rna_motif-R1221s2TS369_4.stdout,A-minor,R1221s2,Bhattacharya - 369,4,[0],0.0
rna_motif-R1221s2TS369_5.stdout,A-minor,R1221s2,Bhattacharya - 369,5,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS417_1.stdout,A-minor,R1221s2,GuangzhouRNA-meta - 417,1,[0.6],0.6
rna_motif-R1221s2TS417_2.stdout,A-minor,R1221s2,GuangzhouRNA-meta - 417,2,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS417_3.stdout,A-minor,R1221s2,GuangzhouRNA-meta - 417,3,[0.6],0.6
rna_motif-R1221s2TS417_4.stdout,A-minor,R1221s2,GuangzhouRNA-meta - 417,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS417_5.stdout,A-minor,R1221s2,GuangzhouRNA-meta - 417,5,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS423_1.stdout,A-minor,R1221s2,ShanghaiTech-server - S 423,1,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS435_1.stdout,A-minor,R1221s2,RNAFOLDX - 435,1,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS435_2.stdout,A-minor,R1221s2,RNAFOLDX - 435,2,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS435_3.stdout,A-minor,R1221s2,RNAFOLDX - 435,3,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS435_4.stdout,A-minor,R1221s2,RNAFOLDX - 435,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS435_5.stdout,A-minor,R1221s2,RNAFOLDX - 435,5,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS448_1.stdout,A-minor,R1221s2,dNAfold - 448,1,[0],0.0
rna_motif-R1221s2TS448_2.stdout,A-minor,R1221s2,dNAfold - 448,2,[0],0.0
rna_motif-R1221s2TS448_3.stdout,A-minor,R1221s2,dNAfold - 448,3,[0],0.0
rna_motif-R1221s2TS448_4.stdout,A-minor,R1221s2,dNAfold - 448,4,[0],0.0
rna_motif-R1221s2TS450_1.stdout,A-minor,R1221s2,OpenComplex_Server - S 450,1,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS450_2.stdout,A-minor,R1221s2,OpenComplex_Server - S 450,2,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS450_3.stdout,A-minor,R1221s2,OpenComplex_Server - S 450,3,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS450_4.stdout,A-minor,R1221s2,OpenComplex_Server - S 450,4,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS450_5.stdout,A-minor,R1221s2,OpenComplex_Server - S 450,5,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS456_1.stdout,A-minor,R1221s2,Yang-Multimer - S 456,1,[0],0.0
rna_motif-R1221s2TS481_1.stdout,A-minor,R1221s2,Vfold - 481,1,[0.7272727272727272],0.7272727272727272
rna_motif-R1221s2TS481_2.stdout,A-minor,R1221s2,Vfold - 481,2,[0.4000000000000001],0.4000000000000001
rna_motif-R1221s2TS481_3.stdout,A-minor,R1221s2,Vfold - 481,3,[0.4000000000000001],0.4000000000000001
rna_motif-R1221s2TS481_4.stdout,A-minor,R1221s2,Vfold - 481,4,[0.4000000000000001],0.4000000000000001
rna_motif-R1221s2TS481_5.stdout,A-minor,R1221s2,Vfold - 481,5,[0.4000000000000001],0.4000000000000001
rna_motif-R1224s2TS006_1.stdout,A-minor,R1224s2,RNA_Dojo - 006,1,[0.5714285714285715],0.5714285714285715
rna_motif-R1224s2TS006_2.stdout,A-minor,R1224s2,RNA_Dojo - 006,2,[0.5714285714285715],0.5714285714285715
rna_motif-R1224s2TS006_3.stdout,A-minor,R1224s2,RNA_Dojo - 006,3,[0.5714285714285715],0.5714285714285715
rna_motif-R1224s2TS006_4.stdout,A-minor,R1224s2,RNA_Dojo - 006,4,[0.5],0.5
rna_motif-R1224s2TS006_5.stdout,A-minor,R1224s2,RNA_Dojo - 006,5,[0.5714285714285715],0.5714285714285715
rna_motif-R1224s2TS028_1.stdout,A-minor,R1224s2,NKRNA-s - S 028,1,[0],0.0
rna_motif-R1224s2TS033_1.stdout,A-minor,R1224s2,Diff - 033,1,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS033_2.stdout,A-minor,R1224s2,Diff - 033,2,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS033_3.stdout,A-minor,R1224s2,Diff - 033,3,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS033_4.stdout,A-minor,R1224s2,Diff - 033,4,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS033_5.stdout,A-minor,R1224s2,Diff - 033,5,[0.8],0.8
rna_motif-R1224s2TS052_1.stdout,A-minor,R1224s2,Yang-Server - S 052,1,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS052_2.stdout,A-minor,R1224s2,Yang-Server - S 052,2,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS052_3.stdout,A-minor,R1224s2,Yang-Server - S 052,3,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS052_5.stdout,A-minor,R1224s2,Yang-Server - S 052,5,[0],0.0
rna_motif-R1224s2TS063_1.stdout,A-minor,R1224s2,RNApolis - 063,1,[0.4],0.4
rna_motif-R1224s2TS063_2.stdout,A-minor,R1224s2,RNApolis - 063,2,[0.4],0.4
rna_motif-R1224s2TS063_3.stdout,A-minor,R1224s2,RNApolis - 063,3,[0.4],0.4
rna_motif-R1224s2TS063_4.stdout,A-minor,R1224s2,RNApolis - 063,4,[0.75],0.75
rna_motif-R1224s2TS063_5.stdout,A-minor,R1224s2,RNApolis - 063,5,[0.4],0.4
rna_motif-R1224s2TS094_1.stdout,A-minor,R1224s2,SimRNA-server - S 094,1,[0],0.0
rna_motif-R1224s2TS094_2.stdout,A-minor,R1224s2,SimRNA-server - S 094,2,[0],0.0
rna_motif-R1224s2TS094_3.stdout,A-minor,R1224s2,SimRNA-server - S 094,3,[0],0.0
rna_motif-R1224s2TS094_4.stdout,A-minor,R1224s2,SimRNA-server - S 094,4,[0],0.0
rna_motif-R1224s2TS094_5.stdout,A-minor,R1224s2,SimRNA-server - S 094,5,[0],0.0
rna_motif-R1224s2TS110_5.stdout,A-minor,R1224s2,MIEnsembles-Server - S 110,5,[0],0.0
rna_motif-R1224s2TS143_1.stdout,A-minor,R1224s2,dMNAfold - 143,1,[0],0.0
rna_motif-R1224s2TS143_2.stdout,A-minor,R1224s2,dMNAfold - 143,2,[0],0.0
rna_motif-R1224s2TS143_3.stdout,A-minor,R1224s2,dMNAfold - 143,3,[0],0.0
rna_motif-R1224s2TS143_4.stdout,A-minor,R1224s2,dMNAfold - 143,4,[0],0.0
rna_motif-R1224s2TS143_5.stdout,A-minor,R1224s2,dMNAfold - 143,5,[0],0.0
rna_motif-R1224s2TS156_1.stdout,A-minor,R1224s2,SoutheRNA - 156,1,[0],0.0
rna_motif-R1224s2TS156_2.stdout,A-minor,R1224s2,SoutheRNA - 156,2,[0],0.0
rna_motif-R1224s2TS156_3.stdout,A-minor,R1224s2,SoutheRNA - 156,3,[0],0.0
rna_motif-R1224s2TS156_4.stdout,A-minor,R1224s2,SoutheRNA - 156,4,[0],0.0
rna_motif-R1224s2TS156_5.stdout,A-minor,R1224s2,SoutheRNA - 156,5,[0],0.0
rna_motif-R1224s2TS159_1.stdout,A-minor,R1224s2,406 - 159,1,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS159_2.stdout,A-minor,R1224s2,406 - 159,2,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS159_3.stdout,A-minor,R1224s2,406 - 159,3,[0.888888888888889],0.888888888888889
rna_motif-R1224s2TS159_4.stdout,A-minor,R1224s2,406 - 159,4,[0.888888888888889],0.888888888888889
